name,culinary_type,address,link,is_branch,payment_methods,description,price_range,open_schedule,available_facilities,unavailable_facilities,phone,overall_rating,individual_rating,seating_capacity
Carpentier Kitchen,Kafe,"Ore Small Bussiness & Cafe, Jl. Untung Suropati No. 83, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/carpentier-kitchen-tegalsari,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (12:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",031 51163366,4.09,"5.0,5.0,4.5,5.0,4.8",
TuttoBono Ristorante,Italia,"Lenmarc Mall, Lantai Ground, Jl. Bukit Darmo Golf, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/tuttobono-ristorante-dukuh-pakis,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (06:00 - 22:00),"Wifi,Area merokok,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Ruang VIP,Vegetarian",031 5468000,4.85,"5.0,5.0,4.3,5.0,5.0",
Cafe Bromo - Sheraton Surabaya Hotel & Towers,"Jam Buka
Senin - Minggu (06:00 - 22:00)

Buka

","Sheraton Surabaya Hotel & Towers, Jl. Embong Malang No. 25 - 31, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/cafe-bromo-sheraton-surabaya-hotel-dan-towers-tegalsari,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (11:30 - 21:00),"Wifi,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",021 23583871,4.85,"4.4,4.2,3.5,4.2,4.3",
Sushi Kaiyo,Jepang,"St Moritz Mall (Lippo Mall Puri), Lantai Ground, Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/sushi-kaiyo-puri,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (08:00 - 20:00),"Wifi,Area merokok,Area outdoor,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Vegetarian",081388776890,4.21,"4.4,4.3,4.4,4.4,4.3",
Paulaner Brauhaus,Jerman,"Grand Indonesia Mall, Lantai 2, East Mall, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/paulaner-brauhaus-thamrin,True,"Tunai,Visa,Master,Debet",Namamia Coffee and Eatery merupakan cafe yang menyediakan tempat yang nyaman untuk work from cafe dengan mensajikan berbagai makanan yang lezat serta minuman coffee dan non coffee,"
                  Di atas Rp. 200.000 /orang
                ","Senin - Jumat (09:00 - 21:00), Sabtu (08:00 - 21:00), Minggu (08:00 - 20:00)","Wifi,Area merokok,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Vegetarian",081389996490,4.11,"4.4,4.6,4.1,4.0,4.5",
Mister & Misses Cakes,Kafe,"Jl. Bogor Baru Blok A10 No. 1 - 2, Bogor Tengah, Bogor",https://pergikuliner.com/restaurants/bogor/mister-dan-misses-cakes-bogor-tengah,False,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Di bawah Rp. 50.000 /orang
                ","Selasa - Minggu (10:00 - 19:00), Senin Tutup","Wifi,Area merokok,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",082119977111,4.36,"4.5,4.5,4.1,4.3,4.3",
Namamia Coffee & Eatery,Kafe,"Jl. Raya Pos Pengumben No. 49, Kebon Jeruk, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/namamia-coffee-dan-eatery-kebon-jeruk,False,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 24:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 22785555,4.32,"4.5,4.3,4.3,4.3,4.3",Kapasitas:  30 kursi
Cremelin,Kafe,"Jl. Abdul Rivai No. 3A, Cihampelas, Bandung",https://pergikuliner.com/restaurants/bandung/cremelin-cihampelas,False,"Tunai,Visa,Master,Debet,Go-pay,Ovo",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","Senin - Sabtu (10:00 - 22:00), Minggu (08:00 - 22:00)","Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir","Pesan antar,24 Jam,100% Halal,Ruang VIP,Alkohol,Vegetarian",082211100059,4.34,"4.3,4.1,3.8,4.2,4.1",Kapasitas:  40 kursi
RM Pagi Sore,Indonesia,"Jl. Benda Bawah No. 75, Kemang, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/rm-pagi-sore-kemang,True,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",24 Jam,"Wifi,Pesan antar,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","24 Jam,Ruang VIP,Alkohol,Vegetarian",021 3504060,4.34,"4.2,4.2,3.8,4.2,4.2",
Fedwell,Kafe,"Jl. Senopati No. 82, Senopati, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/fedwell-senopati,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",088132487771,4.1,"4.5,3.9,3.8,4.3,4.3",
Starbucks Coffee,Kafe,"Jl. Hayam Wuruk (Dekat Harmoni Exchange), Hayam Wuruk, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/starbucks-coffee-hayam-wuruk-2,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (07:00 - 20:00),"Wifi,Area merokok,Area outdoor,24 Jam,100% Halal,Area parkir","Pesan antar,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 2295 6067,4.11,"4.5,4.6,3.2,4.4,4.2",
Marugame Udon,Jepang,"Tunjungan Plaza 3, Lantai 5, Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",https://pergikuliner.com/restaurants/surabaya/marugame-udon-tegalsari,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","Senin - Jumat (13:00 - 22:00), Sabtu (13:00 - 24:00), Minggu (13:00 - 22:00)","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",087825462782,4.16,"4.8,4.4,5.0,4.6,4.6",
Starbucks Coffee,Kafe,"Jl. Braga No. 2, Braga, Bandung",https://pergikuliner.com/restaurants/bandung/starbucks-coffee-braga-2,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (11:00 - 20:30),"Wifi,Area merokok,100% Halal","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Area parkir,Alkohol,Vegetarian",021 72800108,4.17,"4.3,4.4,3.6,3.9,4.3",
Ayang Coffee,Kafe,"Jl. Flamboyan No. 7A, Cibiru, Bandung",https://pergikuliner.com/restaurants/bandung/ayang-coffee-cibiru,False,"Tunai,Ovo",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Area parkir,Alkohol,Vegetarian",087746590012,4.68,"4.5,4.1,4.4,4.2,4.3",
Sushi Hiro,Jepang,"Jl. Suryo No. 24, Senopati, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/sushi-hiro-senopati,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",24 Jam,"Wifi,Ruang VIP,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Bisa reservasi,Vegetarian",081196912650,4.1,"4.3,4.3,4.2,4.2,4.5",
Holycow! STEAKHOUSE by Chef Afit,Barat,"Ruko Mendrisio 3, Blok B No. 31, Jl. BSD Raya Utama, Gading Serpong, Serpong, Tangerang",https://pergikuliner.com/restaurants/tangerang/holycow-steakhouse-by-chef-afit-gading-serpong,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (07:00 - 22:00),"100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",08174918867,4.28,"4.3,4.5,3.9,4.3,4.3",
McDonald's,"Jam Buka
24 Jam

Buka

","Jl. Mampang Prapatan No. 90, Mampang, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/mcdonald-s-mampang,True,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,24 Jam,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Ruang VIP,Alkohol,Vegetarian",031 99148331,4.28,"4.5,4.4,4.1,4.0,4.2",
Exquise Patisserie,Kafe,"Jl. Kertanegara No. 64, Senopati, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/exquise-patisserie-senopati,True,"Tunai,Visa,Master,Debet,Go-pay",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 20:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",08119222526,4.26,"4.2,4.2,3.9,4.3,4.2",
Sliced Pizzeria,Italia,"Jl. Terogong Raya No. 29, Pondok Indah, Jakarta Selatan, 
, ( Alamat Lama: , Jl. Terogong Raya No. 75, Pondok Indah, Jakarta Selatan , )",https://pergikuliner.com/restaurants/jakarta/sliced-pizzeria-pondok-indah-2,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (06:00 - 21:00),"Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",0811977934,4.16,"4.0,4.7,3.8,4.3,4.3",
7 Speed Coffee,Kafe,"Jl. Panglima Polim III No. 9, Panglima Polim, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/7-speed-coffee-panglima-polim,True,"Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (11:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 22531199,4.2,"4.1,4.8,3.4,4.2,4.4",
Plataran Tiga Dari,Indonesia,"Komplek Gelora Bung Karno, Hutan Kota Plataran, Jl. Jenderal Sudirman Kav. 54 - 55, Sudirman, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/plataran-tiga-dari-sudirman-2,False,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ","Senin - Jumat (10:00 - 21:00), Sabtu - Minggu (11:00 - 21:00)","Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Vegetarian",021 27623843,4.2,"4.4,4.1,4.1,4.1,4.3",
Kimukatsu,Jepang,"Bintaro Jaya Xchange Mall, Lantai Ground, Jl. Boulevard Bintaro Jaya, Bintaro, Tangerang Selatan",https://pergikuliner.com/restaurants/tangerang/kimukatsu-bintaro,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29889368,4.2,"4.4,4.1,3.9,4.0,4.1",
Sushi Tei,Jepang,"Lotte Shopping Avenue, Lantai 3, Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/sushi-tei-karet-kuningan,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 01:00),"100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Vegetarian",021 52961999,4.09,"4.3,4.2,3.5,4.4,4.3",
Mr. Fox,Barat,"Energy Building, Lantai Ground, Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/mr-fox-scbd,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,Area merokok,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,100% Halal,Vegetarian",082141021681,4.13,"4.3,4.4,4.0,4.2,4.2",
Kulinarian Steak,"Barat,Indonesia","Jl. Panjang Arteri Kelapa Dua No. 25, Kebon Jeruk, Jakarta Barat, 
, ( Alamat Lama: , PHX Permata Hijau, Jl. Arteri Permata Hijau No. 5, Permata Hijau, Jakarta Selatan , )",https://pergikuliner.com/restaurants/jakarta/kulinarian-steak-kebon-jeruk,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29721334,4.2,"4.4,4.0,4.2,4.2,4.3",Kapasitas:  75 kursi
Sliced Pizzeria,Italia,"Crumble Crew, Jl. Tulodong Bawah No. 1A, Senopati, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/sliced-pizzeria-senopati,True,Tunai,,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (08:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Ruang VIP,Vegetarian",022 7777777,4.22,"4.1,4.5,3.7,4.1,4.4",
Baker Street,Kafe,"Jl. Hayam Wuruk No. 18, Gedung Sate, Bandung",https://pergikuliner.com/restaurants/bandung/baker-street-gedung-sate,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",,"Wifi,Area merokok,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 2295 6067,4.17,"4.3,4.1,3.8,4.3,4.2",
Starbucks Coffee,Kafe,"Soekarno Hatta International Airport Terminal 3 Ultimate, Domestic Departure, Jl. Raya Bandara, Benda, Tangerang",https://pergikuliner.com/restaurants/tangerang/starbucks-coffee-benda-4,True,Tunai,,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,100% Halal,Area parkir","Pesan antar,Alkohol,Vegetarian",081316264981,4.13,"4.4,4.3,4.3,3.9,4.4",
Kimukatsu,Jepang,"Trans Studio Mall Cibubur, Lantai 3, Jl. Raya Alternatif Cibubur No. 230, Cimanggis, Depok",https://pergikuliner.com/restaurants/depok/kimukatsu-cimanggis,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (11:00 - 22:00),"100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",031 5683716,4.23,"4.9,4.6,3.9,4.4,4.6",
Layar Seafood,Indonesia,"Jl. Abdul Wahab Siamin No. 216, Dukuh Pakis, Surabaya",https://pergikuliner.com/restaurants/surabaya/layar-seafood-dukuh-pakis,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Jumat (11:00 - 14:30, 18:00 - 22:00), Sabtu (09:00 - 14:30, 18:00 - 22:00), Minggu (08:00 - 14:30, 18:00 - 22:00)","Wifi,Area merokok,100% Halal,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Vegetarian",021 62312888,4.46,"4.3,3.9,4.2,4.0,4.1",
Golden Sense International Restaurant,China,"Mangga Dua Square, Lantai 5B, Jl. Gunung Sahari No. 1, Mangga Dua, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/golden-sense-international-restaurant-mangga-dua,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (17:00 - 21:30),"Wifi,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area merokok,Area outdoor,24 Jam,100% Halal,Vegetarian",085850374316,4.1,"4.9,3.7,4.7,4.5,3.9",
Es Puter Pak Min,Es Krim,"Jl. Manyar Kertoarjo V No. 35, Manyar, Surabaya",https://pergikuliner.com/restaurants/surabaya/es-puter-pak-min-manyar,True,Tunai,,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Area merokok,100% Halal,Area parkir","Wifi,Pesan antar,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 23580995,4.34,"4.3,4.0,4.0,3.9,4.0",
KOI The,Kafe,"Grand Indonesia Mall, Lantai 3A, West Mall, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/koi-the-thamrin,True,"Tunai,Visa,Master,Debet,Go-pay,Ovo,Dana",,"
                  Di bawah Rp. 50.000 /orang
                ","Senin - Sabtu (08:00 - 19:00), Minggu Tutup","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 22671503,4.05,"4.1,4.5,4.4,4.5,4.4",
Kedaiwa,Indonesia,"Jl. Pluit Karang Barat Blok O6 Barat No. 15B, Muara Karang, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/kedaiwa-muara-karang,False,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (11:00 - 22:00),"Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir","Pesan antar,24 Jam,100% Halal,Ruang VIP,Alkohol,Vegetarian",021 75920778,4.35,"4.4,4.0,3.8,4.4,4.4",
Fish & Co.,Barat,"Pondok Indah Mall 2, Lantai 3, Restaurant Row, Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/fish-dan-co-pondok-indah,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (08:00 - 21:00),"Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 2295 6067,4.17,"4.4,3.7,4.4,4.7,4.3",
Ssst Coffee,Kafe,"Jl. Kliningan II No. 1 (Depan Roti Panas), Buah Batu, Bandung",https://pergikuliner.com/restaurants/bandung/ssst-coffee-buah-batu,False,"Tunai,Debet,Go-pay",,"
                  Di bawah Rp. 50.000 /orang
                ","Senin - Kamis (11:00 - 24:00), Jumat - Sabtu (11:00 - 01:00), Minggu (11:00 - 24:00)","Wifi,Area merokok,Area outdoor,100% Halal","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Area parkir,Alkohol,Vegetarian",021 31925053,4.29,"4.4,4.2,4.0,4.3,4.3",
Gioi Asian Bistro & Lounge,"Barat,Indonesia","Jl. Dr. Kusuma Atmaja No. 85, Menteng, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/gioi-asian-bistro-dan-lounge-menteng,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (08:00 - 24:00),"Wifi,Area merokok,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,Area outdoor,24 Jam,Vegetarian",081282379857,4.24,"4.2,4.3,4.2,3.7,4.1",
Kopi Nako,Minuman,"Jl. Margonda Raya No. 28, Pancoran Mas, Depok",https://pergikuliner.com/restaurants/depok/kopi-nako-pancoran-mas,True,Tunai,,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (11:00 - 19:30),"Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Wifi,Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",081284800973,4.12,"4.1,4.4,3.6,4.1,4.4",
Stack,Barat,"Jl. Wijaya I No. 64, Wijaya, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/stack-wijaya,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 29201020,4.12,"4.7,3.8,3.7,4.1,4.1",
Song Fa Bak Kut Teh,China,"Central Park, Lantai 3, Jl. Letjen S. Parman, Slipi, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/song-fa-bak-kut-teh-slipi,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Area merokok,Area outdoor,Bisa reservasi,Area parkir","Wifi,Pesan antar,24 Jam,100% Halal,Ruang VIP,Alkohol,Vegetarian",021 3866380,4.09,"4.4,4.1,4.0,4.2,4.3",
Supergrain,Kafe,"Grand Indonesia Mall, Lantai 3A, East Mall, Jl. MH Thamrin, Thamrin, Jakarta Pusat",https://pergikuliner.com/restaurants/jakarta/supergrain-thamrin,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 2295 6067,4.2,"4.9,3.9,4.6,4.7,4.6",
Rica Rico Cakery,Toko Kue,"Emporium Pluit Mall, Lantai Lower Ground, Jl. Pluit Selatan Raya, Pluit, Penjaringan, Jakarta Utara",https://pergikuliner.com/restaurants/jakarta/rica-rico-cakery-pluit,True,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ","Selasa - Jumat (07:00 - 21:30), Sabtu - Minggu (07:00 - 22:00), Senin Tutup","100% Halal,Area parkir","Wifi,Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 29667991,4.51,"4.1,4.5,3.9,4.4,4.3",
PGP Cafe,Kafe,"Jl. Delima Jaya No. 40, Ciputat Timur, Tangerang Selatan",https://pergikuliner.com/restaurants/tangerang/pgp-cafe-ciputat-timur,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 50.000 - Rp. 100.000 /orang
                ","Selasa - Minggu (13:00 - 21:00), Senin Tutup","Wifi,Area merokok,Area outdoor,100% Halal,Bisa reservasi,Area parkir","Pesan antar,24 Jam,Ruang VIP,Alkohol,Vegetarian",087727070604,4.24,"4.5,3.8,4.3,4.6,4.1",
Tteokntalk,Korea,"Pasar Modern Bintaro, Blok RC No. 1, Jl. Bintaro Utama (Bintaro Sektor 7), Bintaro, Tangerang Selatan",https://pergikuliner.com/restaurants/tangerang/tteokntalk-bintaro,True,"Tunai,Visa,Master,Debet",,"
                  Di bawah Rp. 50.000 /orang
                ",Senin - Minggu (08:00 - 17:00),"Wifi,Area merokok,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 22717066,4.24,"4.2,4.5,3.8,4.2,4.3",
Sophie Authentique French Bakery,Kafe,"Chic Mart, Jl. Kemang Raya No. 55, Kemang, Jakarta Selatan, 
, ( Alamat Lama: , Jl. Kemang Selatan I No. 20A, Kemang, Jakarta Selatan , )",https://pergikuliner.com/restaurants/jakarta/sophie-authentique-french-bakery-kemang-3,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Kamis (10:00 - 22:00), Jumat - Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Wifi,Area merokok,Area outdoor,100% Halal,Area parkir","Pesan antar,24 Jam,Ruang VIP,Bisa reservasi,Alkohol,Vegetarian",021 80600205,4.2,"4.4,4.4,3.9,4.1,4.2",
Kitchenette,"Barat, Italia","St Moritz Mall (Lippo Mall Puri), Lantai Ground, Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",https://pergikuliner.com/restaurants/jakarta/kitchenette-puri-2,True,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 22:00),"Wifi,Area merokok,Area outdoor,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Bisa reservasi,Vegetarian",021 27514395,4.19,"4.5,4.3,4.3,4.1,4.4",
Gyu Kaku,Jepang,"Gandaria City, Lantai Upper Ground, Mainstreet Dining, Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/gyu-kaku-gandaria,True,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (11:00 - 22:30),"Wifi,100% Halal,Bisa reservasi,Area parkir","Pesan antar,Area merokok,Area outdoor,24 Jam,Ruang VIP,Alkohol,Vegetarian",021 7201566,4.32,"4.2,4.6,3.8,4.7,4.6",
The Front Room,Barat,"Jl. Suryo No. 23, Senopati, Kebayoran Baru, Jakarta Selatan",https://pergikuliner.com/restaurants/jakarta/the-front-room-senopati,False,"Tunai,Visa,Master,Debet",,"
                  Rp. 100.000 - Rp. 200.000 /orang
                ","Senin - Minggu (06:00 - 10:00, 12:00 - 15:00, 18:00 - 22:00)","Wifi,Area merokok,Area outdoor,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,100% Halal,Ruang VIP,Vegetarian",031 5311234,4.38,"4.6,4.6,4.8,4.6,4.6",
Kizahashi Restaurant - Bumi Surabaya City Resort,Jepang,"Bumi Surabaya City Resort, Lobby Level, Jl. Basuki Rahmat No. 106 - 128, Genteng, Surabaya",https://pergikuliner.com/restaurants/surabaya/kizahashi-restaurant-bumi-surabaya-city-resort-genteng,False,"Tunai,Visa,Master,Debet",,"
                  Di atas Rp. 200.000 /orang
                ",Senin - Minggu (10:00 - 21:00),"Wifi,Area merokok,Area outdoor,100% Halal,Ruang VIP,Bisa reservasi,Area parkir,Alkohol","Pesan antar,24 Jam,Vegetarian",021 29488494,4.64,"4.6,4.1,3.7,4.2,4.2",
